à peine:0
absolument:3
adequatement:2
affreusement:4
assez:2
assurément:5
authentiquement:3
beaucoup:3
bellement:3
bien:2
bigrement:3
bonnement:2
bougrement:3
chichement:-2
convenablement:2
correctement:2
de belle manière:3
de très belle manière:4
décemment:2
diablement:4
discrètement:0
drôlement:4
effectivement:2
effroyablement:4
énormément:4
épatamment:4
excellemment:4
exceptionnellement:4
excessivement:4
extraordinairement:4
extrêmement:4
énormément:4
fabuleusement:4
faiblement:0
fantastiquement:4
follement:4
formidablement:4
fort:3
fortement:3
foutrement:4
franchement:3
furieusement:4
grandement:3
grave:3
gravement:3
guère:-2
hautement:3
honnêtement:2
horriblement:4
humblement:0
immensément:4
imparfaitement:-3
imperceptiblement:0
incroyablement:4
indubitablement:3
infiniment:4
insuffisamment:-2
joliment:3
lamentablement:-4
légèrement:2
maigrement:0
magnifiquement:4
médiocrement:-2
merveilleusement:4
minablement:-4
misérablement:-4
modestement:0
modiquement:-2
monstrueusement:4
moyennement:-3
normalement:2
obscurèment:-3
parfaitement:4
particulièrement:4
passablement:-2
pauvrement:-2
petitement:-2
peu:-3
péniblement:-3
piteusement:-3
positivement:2
prodigieusement:4
proprement:2
pudiquement:0
puissamment:3
raisonnablement:2
réellement:3
remarquablement:4
rudement:4
sincèrement:2
singulièrement:3
souverainement:4
suffisamment:2
superbement:4
supérieurement:4
suprêmement:4
sûrement:2
terriblement:4
tout à fait:3
très:3
trop:3
vachement:3
véritablement:3
vivement:4
vraiment:3
