id;mot;pol_pos;pol_neutre;pol_neg
46996;impressionné;0.07;0.11;0.82
128170;dont;0.42;0.53;0.05
69550;travailler;0.18;0.66;0.15
24247;service;0.34;0.61;0.04
24247;service;0.34;0.61;0.04
27120;train;0.32;0.64;0.04
410697;Très;0.86;0.14;0
2529893;On;0.33;0.67;0
112765;y;0.61;0.28;0.11
95576;certainement;0.54;0.42;0.04
107275;Norvège;0.69;0.31;0
81363;façon;0.65;0.28;0.07
31641;avoir;0.03;0.95;0.03
103323;retourner;0.48;0.42;0.1
1575928;culinaires;0.68;0.32;0
425070;concerne;0.63;0.25;0.12
409721;Tout;0.71;0.25;0.04
134218;endroit;0.41;0.59;0
36717;meilleur;0.82;0.13;0.05
52260;parfait;0.81;0.13;0.06
259542;chauds;0.7;0.3;0.01
596382;Faites;0.49;0.31;0.2
74736;repas;0.64;0.36;0
26114;Sabrina;0.76;0.24;0
39650;sushi;0.83;0.17;0
45223;particulièrement;0.67;0.3;0.03
35415;animation;0.63;0.29;0.08
5549;alcools;0.76;0.24;0
173174;Il;0.76;0.24;0
140025;ou;0.7;0.21;0.09
3233;partie;0.14;0.85;0.02
259470;Smirnoff;0.74;0.16;0.1
13267;cocktails;0.47;0.4;0.13
59839;forfait;0.02;0.67;0.31
46612;compris;0.81;0.1;0.08
429949;Excellents;0.74;0.26;0
104957;fait;0.3;0.64;0.06
104957;fait;0.3;0.64;0.06
3233;partie;0.14;0.85;0.02
36372;point;0.19;0.73;0.08
59839;forfait;0.02;0.67;0.31
46612;compris;0.81;0.1;0.08
264439;serveurs;0.76;0.24;0
122393;plage;0.37;0.61;0.02
59473;extra;0.68;0.26;0.07
163561;commerces;0.81;0.1;0.09
67502;proche;0.69;0.24;0.07
45749;inconvénient;0;0.06;0.94
42890;chaude;0.51;0.44;0.06
153137;glacée;0.8;0.1;0.1
19654;bar;0.27;0.71;0.02
52534;débordement;0.32;0.07;0.61
95772;dédié;0.76;0.12;0.12
50144;payé;0.74;0.19;0.07
151922;ongles;0.42;0.54;0.04
139352;beauté;0.95;0.03;0.02
141387;espace;0.23;0.77;0
22879;rentrer;0.45;0.36;0.19
415472;parce;0.76;0.14;0.11
151922;ongles;0.42;0.54;0.04
46739;stand;0.55;0.31;0.14
36811;billard;0.34;0.66;0
37302;trouvé;0.31;0.45;0.23
59052;retour;0.61;0.32;0.07
263034;m';0.21;0.57;0.21
86589;eh;0.33;0.63;0.04
131040;prix;0.13;0.8;0.07
20938;surtout;0.38;0.59;0.03
417603;avais;0;0.76;0.24
82870;technicien;0.33;0.67;0
129882;pourquoi;0.41;0.57;0.02
81465;évité;0.39;0.17;0.44
151922;ongles;0.42;0.54;0.04
112165;désagréable;0.02;0;0.98
1;vraiment;0.68;0.26;0.06
116212;joli;0.83;0.11;0.06
153438;clés;0.66;0.26;0.07
10622;ils;0.45;0.45;0.1
28666;donné;0.81;0.1;0.09
160892;ont;0.76;0.13;0.12
160892;ont;0.76;0.13;0.12
59874;envoyé;0.64;0.29;0.07
105008;suite;0.58;0.37;0.04
102073;on;0.39;0.51;0.11
87409;choix;0.3;0.68;0.02
38519;préparé;0.73;0.17;0.1
18948;où;0.41;0.59;0
134293;copieux;0.72;0.17;0.11
43922;buffet;0.68;0.32;0
89714;désormais;0.65;0.35;0
21254;accueil;0.47;0.48;0.05
66765;comme;0.07;0.93;0
239924;exceptionnelle;0.78;0.16;0.06
144569;fermé;0.15;0.4;0.45
49803;froid;0.05;0.44;0.51
8465;semaine;0.19;0.78;0.03
18709;tranquille;0.87;0.08;0.05
8431;commencer;0.62;0.32;0.05
23128;cela;0.59;0.38;0.03
20082;client;0.23;0.74;0.03
14462;formidable;0.86;0.06;0.08
46717;parlant;0.72;0.22;0.06
4071;pu;0;0.95;0.05
155297;entré;0.7;0.2;0.1
143987;ménage;0.23;0.72;0.04
95494;reproche;0;0.02;0.98
53388;en;0.13;0.81;0.07
38021;fois;0.34;0.59;0.07
8465;semaine;0.19;0.78;0.03
152938;seule;0.45;0.03;0.52
34954;frapper;0.03;0;0.97
124807;dernière;0.52;0.34;0.14
52704;trois;0.14;0.85;0.01
38021;fois;0.34;0.59;0.07
70144;h;0.74;0.26;0
257617;05;0.71;0.29;0
118173;8;0.77;0.23;0
24442;envahissant;0;0.05;0.95
143613;porte;0.22;0.75;0.02
69132;inacceptable;0.04;0.06;0.9
8786;seulement;0.38;0.48;0.13
131142;concevoir;0.74;0.16;0.09
59241;revenir;0.46;0.48;0.06
413446;avons;0.61;0.2;0.19
409650;peuvent;0.38;0.34;0.28
72731;dur;0.02;0.07;0.91
401330;font;0.66;0.22;0.12
220309;travaille;0.69;0.12;0.19
110614;quelque;0.35;0.61;0.04
22824;aller;0.12;0.88;0
69379;rater;0;0.05;0.95
137327;Si;0.73;0.2;0.07
400302;laissez;0.72;0.17;0.11
146357;envie;0.54;0.23;0.23
164849;accidents;0.05;0.08;0.87
39409;peu;0.16;0.29;0.55
49679;part;0.42;0.58;0
1978790;pourrez;0.25;0.5;0.25
10593;séjourner;0.29;0.67;0.04
142563;monde;0.23;0.77;0
413445;Nous;0.78;0.22;0
131131;adoré;0.8;0.09;0.11
323983;cloisons;0.75;0.14;0.12
73457;artiste;0.58;0.39;0.03
70283;travail;0.09;0.71;0.2
159315;blancs;0.7;0.2;0.11
146065;mari;0.45;0.37;0.18
149240;murs;0.74;0.16;0.1
112698;choisir;0.27;0.7;0.03
127553;aussi;0.42;0.49;0.09
127071;quoi;0.39;0.56;0.05
91876;vins;0.77;0.23;0
407876;bières;0.7;0.25;0.05
219829;géniale;0.05;0.09;0.86
107233;supermarché;0.6;0.34;0.06
83082;soit;0.68;0.25;0.07
146025;air;0.17;0.81;0.02
33296;besoin;0.04;0.14;0.82
46091;critique;0.09;0.11;0.8
265665;correctes;0.75;0.13;0.13
1055;quartier;0.17;0.67;0.16
4078;mal;0.01;0.01;0.98
10233;charmant;0.9;0.05;0.05
34148;toit;0.25;0.75;0
23178;grand;0.21;0.77;0.03
163057;entretenue;0.37;0.63;0
3712;traverser;0.6;0.34;0.06
153716;faut;0.66;0.22;0.12
8662;s;0.83;0.17;0
153716;faut;0.66;0.22;0.12
2998;t;0.76;0.24;0
246759;déteste;0;0.12;0.88
74077;Encore;0.71;0.21;0.08
150006;qu;0.29;0.71;0
138276;n;0.62;0.31;0.08
153164;ouverte;0.74;0.19;0.07
147146;couloirs;0.25;0.25;0.5
47186;elle;0.64;0.27;0.08
20564;rue;0.14;0.84;0.02
65447;rendre;0.41;0.52;0.07
132443;devoir;0.41;0.47;0.11
563;grille;0.25;0.69;0.06
118539;poils;0.39;0.59;0.03
406598;Salle;0.69;0.31;0
84374;années;0.62;0.31;0.08
120728;planche;0.21;0.79;0
132716;baignoire;0.34;0.64;0.02
317767;isolées;0.59;0.37;0.04
426445;Aucune;0;0.15;0.85
129938;urine;0.08;0.16;0.76
136771;WC;0.69;0.21;0.1
62596;bruyant;-0.03;0.06;0.97
86711;jaune;0.19;0.76;0.05
85944;non;0.01;0.21;0.77
6657;bouchée;0.74;0.19;0.07
158577;plats;0.77;0.23;0
1773846;vante;0.6;0.2;0.2
27185;terroir;0.58;0.42;0
397617;Sans;0.32;0.36;0.32
4455;chien;0.13;0.5;0.37
133694;bancal;0.05;0.1;0.85
74614;intimité;0.68;0.24;0.08
19871;garantie;0.39;0.58;0.03
45179;maison;0.23;0.76;0.01
88543;jour;0.15;0.82;0.03
12137;terminer;0.56;0.23;0.21
92212;d;0.78;0.22;0
